rank,sitc4,product,value,delta,year
328,7613,Aluminum containers for compressed or liquefied gas,2.34321,-25,2000
329,5906,Rubberized textile fabrics,2.32524,-168,2000
330,9003,"Frames and mountings for spectacles, goggles or the like",2.32068,-112,2000
331,2823,Titanium oxides,2.31744,-50,2000
332,8535,Apparatus protecting electrical circuits for > 1k volts,2.31506,-5,2000
333,8311,"Wire, rods, tubes, plates, electrodes and similar products of base metal",2.29583,-12,2000
334,3921,"Other plastic plates, sheets, film, foil and strip",2.29036,10,2000
335,4807,Composite paper and paperboard,2.28802,264,2000
336,7009,Glass mirrors,2.28522,70,2000
337,7007,Safety glass,2.28172,44,2000
338,3704,"Photographic plates, film, paper, exposed but not developed",2.28065,110,2000
339,8451,"Machinery for washing, cleaning or drying fabrics",2.27337,-21,2000
340,2848,Phosphides,2.27314,277,2000
341,8605,Railway passenger coaches,2.27199,-35,2000
342,3208,"Paints and varnishes, nonaqueous",2.27091,-157,2000
343,3903,"Polymers of styrene, in primary forms",2.25814,0,2000
344,2941,Antibiotics,2.25152,32,2000
345,2922,Oxygen-function amino-compounds,2.24747,68,2000
346,0209,Pig and poultry fat,2.24658,91,2000
347,9302,Revolvers and pistols,2.24151,-6,2000
348,8410,"Hydraulic turbines, water wheels",2.24013,135,2000
349,7906,"Zinc tubes, pipes and tube or pipe fittings",2.23853,199,2000
350,5404,"Synthetic monofilament, >67 dtex, thickness < 1mm",2.22551,-60,2000
351,7020,Other articles of glass,2.22131,-144,2000
352,2829,Chlorates and perchlorates; bromates and perbromates; iodates and periodates,2.2182,-6,2000
353,4816,Other carbon paper,2.206,-62,2000
354,3001,Glands and other organs,2.1929,-160,2000
355,5606,Gimp yarn,2.1829,41,2000
356,3915,"Plastic waste, parings and scrap",2.17998,-34,2000
357,8301,Padlocks of base metal,2.17382,0,2000
358,8529,"Parts of radios, telephones and TVs",2.16766,95,2000
359,1518,"Processed animal, vegetable oils",2.16625,96,2000
360,8901,Cruise ships and similar vessels for the transport of persons,2.16404,42,2000
361,7603,Aluminum powders and flakes,2.15786,-9,2000
362,8425,Pulley tackle and hoists; winches and capstans; jacks,2.15653,131,2000
363,2906,"Cyclic alcohols and their halogenated, sulfonated, nitrated or nitrosated derivatives",2.15492,-141,2000
364,2938,Glycosides,2.14694,10,2000
365,2846,"Compounds, inorganic or organic, of rare-earth metals",2.13185,-111,2000
366,4822,"Bobbins, spools, cops of paper pulp",2.12154,-126,2000
367,3902,"Polymers of propylene or of other olefins, in primary forms",2.11773,69,2000
368,5403,Artificial filament yarn,2.10878,5,2000
369,3601,Propellant powders,2.10207,-53,2000
370,3807,"Wood tar, oils, creosote, naphtha; vegetable pitch",2.09986,-155,2000
371,9103,Clocks with watch movements,2.09465,399,2000
372,8310,"Sign plates, name plates, address plates and similar plates",2.0917,-133,2000
373,7616,Other articles of aluminum,2.09124,-12,2000
374,9019,Mechano-therapy appliances,2.08987,-81,2000
375,9303,Other firearms and similar devices,2.07981,68,2000
376,0404,Whey,2.07177,-130,2000
377,7011,Glass envelopes,2.06334,-21,2000
378,3801,Artificial graphite,2.06107,-166,2000
379,1501,"Lard, poultry fat, rendered",2.0562,-43,2000
380,4906,"Plans and drawings for architectural, engineering, industrial, commercial, topographical purposes",2.03013,-40,2000
381,8450,laundry-type washing machines,2.02536,-52,2000
382,5309,Woven fabrics of flax,2.0212,100,2000
383,3913,Natural polymers,2.01313,-91,2000
384,3926,Other articles of plastic,2.00889,-303,2000
385,7502,Nickel unwrought,2.00852,-1,2000
386,2851,"Inorganic compounds, liquid or compressed air",2.00705,-332,2000
387,2910,Epoxides,2.00513,-273,2000
388,7804,Lead foil of a thickness <2mm,1.99965,270,2000
389,8539,Electrical filament,1.99303,99,2000
390,2827,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides",1.98807,-19,2000
391,7608,Aluminum tubes and pipes,1.98716,-36,2000
392,6807,Asphalt,1.98601,50,2000
393,3304,Beauty or make-up preparations,1.9831,6,2000
394,0405,Butter,1.9827,-14,2000
395,5811,Quilted textile products in piece,1.97903,-28,2000
396,2706,Tar distilled from coal,1.9743,-5,2000
397,8438,"Machinery, not specified for the industrial preparation or manufacture of food or drink",1.96456,-140,2000
398,8429,"Self-propelled bulldozers, excavators and road rollers",1.96093,0,2000
399,2826,"Fluorides; fluorosilicates, fluoroaluminates",1.95667,100,2000
400,4802,"Paper, uncoat, for writing etc, rolls, handmade paper",1.9532,33,2000
401,3004,"Medicaments, packaged",1.94891,-156,2000
402,1806,"Cocoa powder, sweetened",1.94534,28,2000
403,9304,"Arms nes, (spring/air/gas guns, truncheons, etc)",1.94377,-16,2000
404,8532,Electrical capacitors,1.92708,-29,2000
405,8420,Calendering or other rolling machines,1.92144,-367,2000
406,6902,"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods",1.9198,212,2000
407,8473,Parts and accessories for office machines,1.91877,63,2000
408,3925,Plastic builders' ware,1.91346,110,2000
409,3307,Shaving products,1.90862,19,2000
410,3819,"Hydraulic brake, transmission fluid <70% petroleum oi",1.90788,-176,2000
411,8471,Automatic data processing machines,1.90191,-26,2000
412,2849,Carbides,1.89943,163,2000
413,9111,Watch cases and parts,1.89074,-3,2000
414,3212,"Pigments, nonaqueous",1.88951,-381,2000
415,5704,Carpets of felt,1.88505,36,2000
416,8415,Air conditioners,1.8843,29,2000
417,2618,Granulated slag,1.86827,-82,2000
418,3922,"Baths, shower baths, sinks, washbasins, bidets, lavatory pans, seats and covers",1.86597,41,2000
419,2845,Isotopes not elsewhere specified,1.86586,0,2000
420,8528,Monitors and projectors; reception apparatus for television,1.86572,120,2000
421,7407,"Copper bars, rods and profiles",1.8648,23,2000
422,8476,Automatic goods-vending machines,1.85866,3,2000
423,0205,"Horse, ass, mule or hinny meat",1.84885,248,2000
424,7302,Railway or tramway track construction material of iron or steel,1.84599,77,2000
425,8405,Producer gas or water gas generators,1.84475,-24,2000
426,7904,"Zinc bars, rods, profiles and wire",1.84077,180,2000
427,8505,Electromagnets,1.83617,2,2000
428,5405,"Artificial monofilament >67dtex t<1mm, strip, straws t<5mm",1.82823,-60,2000
429,2519,Natural magnesium carbonate,1.82628,265,2000
430,5605,Metallised yarn,1.82465,-71,2000
431,6813,Friction material and articles thereof,1.81516,-22,2000
432,4410,Particle board,1.81431,-67,2000
433,9301,"Military weapons, other than revolvers, pistols",1.80905,110,2000
434,9201,Pianos,1.80434,-70,2000
435,2903,Halogenated derivatives of hydrocarbons,1.79581,46,2000
436,8516,Electric instantaneous or storage water heaters,1.79567,99,2000
437,4808,"Paper and paperboard, corrugated",1.78994,-42,2000
438,7410,Copper foil < 0.15 mm,1.78098,19,2000
439,8803,Parts of goods of other aircraft,1.77927,11,2000
440,1003,Barley,1.77558,-16,2000
441,2004,"Other vegetables, prepared or preserved",1.77378,-79,2000
442,8204,Hand-operated spanners and wrenches,1.7685,-135,2000
443,7228,"hollow drill bars and rods, of alloy or non-alloy steel",1.76795,11,2000
444,8404,Auxiliary plant for use with boilers; condensers for steam or other vapor power units,1.75804,-61,2000
445,3209,"Paints and varnishes, aqueous",1.75413,30,2000
446,5402,Synthetic filament yarn,1.75278,28,2000
447,9011,Compound optical microscopes,1.74779,-115,2000
448,4006,Other forms of unvulcanized rubber,1.74681,137,2000
449,8305,Miscellaneous office goods,1.7399,-56,2000
450,8213,"Scissors, tailors/similar shears, blades thereof",1.73804,6,2000
451,8906,"Other vessels, including warships and lifeboats other than row boats",1.7376,366,2000
452,7612,Aluminum cans and similar containers,1.7363,110,2000
453,2525,Mica,1.73501,188,2000
454,8520,Dictating machine,1.73363,-203,2000
455,2703,Peat,1.72853,-97,2000
456,8452,Sewing machines,1.72677,-45,2000
457,8402,Steam or other vapor generating boilers,1.72067,-210,2000
458,8715,"Parts and accessories of motorcycles, bicycles or carriages",1.71792,44,2000
459,0210,Preserved meat,1.7179,-73,2000
460,4804,Uncoated kraft paper and paperboard,1.71107,92,2000
461,8507,Electric storage batteries,1.70766,152,2000
462,8211,"Sets of different knives, cutlery sets",1.69455,23,2000
463,7316,"Anchors, grapnels and parts thereof, of iron or steel",1.69272,329,2000
464,8501,Electric motors and generators,1.68503,-12,2000
465,2526,Natural steatite,1.68075,19,2000
466,8533,Electrical resistors,1.67551,5,2000
467,8548,Waste and scrap of batteries; used batteries,1.67231,-142,2000
468,8710,Tanks and other armoured fighting vehicles,1.67227,-210,2000
469,3302,Mixtures of odoriferous substances and mixtures,1.66538,-149,2000
470,2811,Other inorganic acids and other inorganic oxygen compounds of nonmetals,1.6599,-91,2000
471,1505,"Wool grease, crude",1.65967,-240,2000
472,7314,Cloth of iron or steel wire,1.65602,136,2000
473,2837,Cyanides,1.65299,81,2000
474,2904,"Sulfonated, nitrated or nitrosated derivatives of hydrocarbons",1.64824,160,2000
475,9405,Lamps and lighting fittings,1.64488,34,2000
476,3916,Monofilament,1.6436,-138,2000
477,8303,"Armored or reinforced safes, strong-boxes",1.63901,35,2000
478,2813,Sulfides of nonmetals,1.63376,-52,2000
479,8432,"Agricultural, forestry machinery for soil preparation",1.63067,0,2000
480,2206,"Fermented beverages (cider, perry, mead, etc)",1.62899,-11,2000
481,7005,Float glass,1.62627,55,2000
482,2825,"Hydrazine and hydroxylamine, inorganic salts",1.62426,41,2000
483,3706,"Motion-picture film, exposed and developed",1.62334,15,2000
484,5806,Narrow woven fabrics,1.62208,76,2000
485,5503,Synthetic staple fibers,1.62111,86,2000
486,3917,"Tubes, pipes and hoses and fittings",1.62091,-37,2000
487,7215,Other bars and rods of iron or nonalloy steel,1.61161,33,2000
488,4805,Other uncoated paper and paperboard,1.60539,-151,2000
489,2612,Uranium or thorium ores,1.59461,52,2000
490,1004,Oats,1.59429,157,2000
491,7013,Glassware for interior decorative use,1.58083,66,2000
492,1002,Rye,1.57873,3,2000
493,7208,"Hot rolled iron or non-alloy steel, coil,w >600mm, t >10mm, myp 355 mpa",1.56976,91,2000
494,1901,Malt extract,1.56538,-47,2000
495,3104,"Mineral or chemical fertilizers, potassic",1.5614,81,2000
496,9501,"Rideable wheeled toys, dolls carriages",1.56054,178,2000
497,1107,"Malt, not roasted",1.55892,-34,2000
498,6809,Plaster articles,1.55726,-75,2000
499,8418,"Refrigerators, freezers",1.55142,18,2000
500,0406,Fresh cheese,1.54243,42,2000
501,7325,Other cast articles of iron or steel,1.53773,25,2000
502,8705,Special purpose motor vehicles,1.53773,71,2000
503,1904,Cereal foods,1.53514,136,2000
504,3210,Other paints and varnishes,1.53432,150,2000
505,8606,"Railway freight cars, not self-propelled",1.5339,289,2000
506,2835,Phosphinates and phosphonates,1.53191,49,2000
507,9107,Time switches with clock or watch movement,1.52595,6,2000
508,8206,"Tools of two or more types of hand tools, for retail sale",1.52275,178,2000
509,8518,Microphones; loudspeakers; headphones,1.52224,37,2000
510,7319,"Sewing needles, knitting needles and similar articles of iron or steel",1.51869,-70,2000
511,4823,"Other paper, paperboard cut to size or shape",1.51632,-73,2000
512,5909,Textile hosepiping and similar tubing,1.51384,-207,2000
513,0403,Fermented milk and cream products,1.50813,-79,2000
514,2509,Chalk,1.50804,111,2000
515,8543,Electrical machines and apparatus with individual functions not elsewhere specified,1.50693,-337,2000
516,1514,"Canola, rape, colza or mustard oil, crude",1.50609,-219,2000
517,2830,Sulfides; polysulfides,1.50355,20,2000
518,8714,"Parts and accessories of motorcycles, bicycles or carriages",1.49768,48,2000
519,7907,Other articles of zinc,1.48579,116,2000
520,9108,"Watch movements, complete and assembled",1.48345,-55,2000
521,7610,"Aluminum structures (bridges, towers etc)",1.47901,61,2000
522,9506,Articles and equipment for general physical exercise,1.47895,242,2000
523,8104,Magnesium,1.47859,55,2000
524,0101,Horses,1.47769,-10,2000
525,2917,Polycarboxylic acids,1.47038,33,2000
526,1205,Rape or colza seeds,1.47019,-53,2000
527,8437,"Machines for cleaning, sorting or grading seed; machinery used in the milling industry or for the working of cereals or dried leguminous vegetables",1.46016,106,2000
528,8542,Electronic integrated circuits,1.45747,-39,2000
529,7419,Other articles of copper,1.45701,-35,2000
530,7324,Sanitary ware and parts of iron or steel,1.45305,8,2000
531,0401,Milk and cream,1.44614,-99,2000
532,7308,"Structures and parts thereof (bridges, lock gates, towers, etc)",1.44515,38,2000
533,7409,"Copper plates, sheets and strip > 0.15 mm",1.44453,88,2000
534,5306,Flax yarn,1.44119,-47,2000
535,7218,Stainless steel in ingots or other primary forms,1.42728,-463,2000
536,4910,Calendars,1.42713,-97,2000
537,8504,Electrical transformers,1.4157,-26,2000
538,4815,Floor coverings of paper,1.41338,-144,2000
539,7306,Other tubes and pipes of iron or steel,1.40317,-53,2000
540,4818,Toilet paper of a kind used for household or sanitary purposes,1.4002,-73,2000
541,2831,Dithionites and sulfoxylates,1.39871,4,2000
542,9028,"Gas, liquid or electricity supply or production meters",1.39688,-193,2000
543,4703,"Chemical woodpulp, soda or sulfate, not dissolving grade",1.39299,46,2000
544,7115,Other articles of precious metals,1.39181,21,2000
545,2502,Iron pyrites,1.3816,-182,2000
546,4812,Filter blocks of paper pulp,1.37856,99,2000
547,3405,Polishes and creams,1.37171,-79,2000
548,8702,Motor vehicles for the transport of > 10 persons,1.36946,19,2000
549,7413,"Stranded wire, cables and similar articles of copper",1.36891,152,2000
550,3806,Rosin and resin acids,1.36708,-19,2000
551,2507,Kaolin,1.3605,-4,2000
552,0502,"Bristles, hair of pigs, hogs or boars",1.35323,466,2000
553,2844,Radioactive chemical elements and radioactive isotopes,1.34718,-87,2000
554,8210,"Hand-operated appliances, food preparation, <10kg",1.34636,-157,2000
555,8212,"Razors including safety razors, open blade razors",1.34623,-21,2000
556,5113,Woven fabrics of coarse animal hair or of horsehair,1.33984,-78,2000
557,2942,Other organic compounds,1.3379,45,2000
558,0207,Poultry,1.32637,23,2000
559,2621,"Other slag and ash, including seaweed ash (kelp)",1.3222,90,2000
560,2201,Waters natural,1.31777,70,2000
561,9207,Musical instruments amplified electrically,1.31383,68,2000
562,2836,Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate,1.30442,64,2000
563,9617,Vacuum flasks and other vacuum vessels,1.3016,51,2000
564,3211,Prepared driers,1.30092,64,2000
565,5507,"Artificial staple fibers, processed",1.29594,184,2000
566,9306,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war",1.29382,8,2000
567,9406,Prefabricated buildings,1.29366,-61,2000
568,9110,Complete watch or clock movements,1.29012,310,2000
569,8112,Other metals,1.28772,101,2000
570,7303,"Tubes, pipes and hollow profiles, of cast iron",1.27669,-55,2000
571,3901,"Polymers of ethylene, in primary forms",1.27497,20,2000
572,8522,Parts and accessories for video or sound equipment,1.27207,52,2000
573,9205,Wind musical instruments,1.26709,-201,2000
574,7312,"Stranded wire, ropes, cables of iron or steel, not electrically insulated",1.2663,31,2000
575,8801,"Balloons & dirigibles, gliders etc",1.26451,-187,2000
576,2832,Sulfites; thiosulfates,1.25907,-26,2000
577,6810,Cement articles,1.25405,-53,2000
578,5501,Synthetic filament tow,1.2529,-17,2000
579,8111,Manganese,1.25278,171,2000
580,1105,Potato flour or meal,1.25225,-51,2000
581,2819,Chromium oxides and hydroxides,1.25018,20,2000
582,7305,Other tubes and pipes of iron or steel having circular cross section,1.24641,40,2000
583,4901,"Printed books, brochures, leaflets and similar printed matter",1.2462,-319,2000
584,7016,"Glass paving blocks, slabs, bricks, squares, tiles or other molded products",1.24438,-77,2000
585,5112,Woven fabrics of combed wool or combed fine animal hair,1.23775,13,2000
586,3501,Casein,1.23677,-67,2000
587,6808,"Vegetable fiber used for panels, boards, tiles, blocks",1.22731,51,2000
588,2841,Salts of oxometallic or peroxometallic acids,1.21924,-124,2000
589,8309,"Stoppers, caps and lids",1.21792,-62,2000
590,7406,Copper powders and flakes,1.21486,-168,2000
591,1210,"Hop cones, powdered or pelleted",1.21026,-69,2000
592,6803,Worked slate,1.20964,-28,2000
593,3503,Gelatin,1.20861,-132,2000
594,3817,Mixed alkylbenzenes and mixed alkylnaphthalenes,1.20519,126,2000
595,7806,Other articles of lead,1.1981,58,2000
596,7001,Cullet and other scraps of glass,1.19377,-188,2000
597,2704,"Coke etc of coal, lignite or peat, retort carbon",1.18605,93,2000
598,8003,"Tin bars, rods, profiles and wire",1.17535,-181,2000
599,9109,"Clock movements, complete and assembled",1.17451,-376,2000
600,4301,Other raw furskins,1.16174,-142,2000
601,9112,Clock cases,1.15679,200,2000
602,9114,Other clock or watch parts,1.15428,30,2000
603,9102,Wrist watches and pocket watches,1.14927,49,2000
604,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium",1.14708,-36,2000
605,8802,"Aircraft, spacecraft & launch vehicles",1.14097,208,2000
606,7606,"Aluminum plates, sheets and strip > 0.2 mm",1.14082,-29,2000
607,7604,"Aluminum bars, rods and profiles",1.13672,76,2000
608,7006,Glass with edge workings or bent,1.13599,-80,2000
609,2702,Lignite,1.13539,87,2000
610,9007,Cinematographic cameras and projectors,1.13355,79,2000
611,3904,"Polymers of vinyl chloride or of other halogenated olefins, in primary forms",1.13148,20,2000
612,9610,"Slates and boards, with writing or drawing surfaces",1.13007,-87,2000
613,7210,"Flat rolled iron or non-alloy steel, coated with tin, w >600mm, t >0.5m",1.12741,-122,2000
614,8453,"Machinery for preparing, tanning or working hides, skins or leather",1.12472,317,2000
615,7012,Glass used for vaccuum flasks,1.12091,213,2000
616,2514,Slate,1.11337,30,2000
617,9105,Other clocks,1.11291,97,2000
618,2810,Oxides of boron; boric acids,1.10326,170,2000
619,8521,Video recording apparatus,1.10127,46,2000
620,7224,Other alloy steel in primary form,1.10046,-179,2000
621,2808,Sulfonitric acids,1.09486,42,2000
622,7003,"Glass, cast or rolled",1.09334,-114,2000
623,4012,Retreaded or used pneumatic tires of rubber,1.09055,-37,2000
624,4411,Fiberboard of wood,1.07641,60,2000
625,7405,Master alloys of copper,1.07248,-86,2000
626,5516,Woven fabrics of artificial staple fibers,1.06898,59,2000
627,3814,Organic composite solvents and thinners,1.06395,-37,2000
628,8804,Parachutes,1.06086,-16,2000
629,2105,Ice cream,1.06039,-35,2000
630,8908,Vessels and other floating structures for scrapping,1.05305,91,2000
631,9703,Original sculptures and statuary,1.05167,47,2000
632,2806,Hydrogen chloride (Hydrochloric acid); chlorosulfuric acid,1.04693,67,2000
633,8540,"Thermionic, cold cathode or photocathode tubes",1.03837,-228,2000
634,2303,Starch residues,1.03437,-62,2000
635,6602,Walking sticks,1.03229,84,2000
636,7004,"Glass, drawn or blown",1.02827,51,2000
637,2909,Ethers,1.02371,-42,2000
638,3803,Tall oil,1.02035,-326,2000
639,9616,Scent sprayers and similar toilet sprayers,1.01835,-142,2000
640,8107,Cadmium,1.01689,-178,2000
641,7903,"Zinc dust, powders and flakes",1.0131,171,2000
642,0408,Egg yolks dried,1.01066,50,2000
643,8214,Other cutlery,1.00602,16,2000
644,4821,Paper and paperboard labels,1.00289,-244,2000
645,9618,Mannequins,1.00205,-115,2000
646,5901,Textile fabrics coated with gum or amylaceous,0.99339,-344,2000
647,7321,"Stoves, ranges, barbecues and similar appliances of iron or steel",0.992268,65,2000
648,4111,Composition leather,0.989331,-52,2000
649,7015,Clock or watch glasses,0.977769,158,2000
650,3808,"Insecticides, rodenticides, fungicides, herbicides",0.972557,60,2000
651,0206,Edible offal of animals,0.968876,83,2000
652,2817,Zinc oxide and peroxide,0.967108,-4,2000
653,2708,Pitch and pitch coke,0.960668,19,2000
654,4416,"Casks, barrels, vats, tubs of wood",0.958916,-27,2000
655,5408,Woven fabrics of artificial filament yarn,0.958824,127,2000
656,6905,"Roofing tiles, chimney pots or other architectural ceramic ornaments",0.955569,-225,2000
657,6603,Parts of umbrellas or walking sticks,0.954822,-34,2000
658,2803,"Carbon, nesoi",0.945372,45,2000
659,7417,Copper cooking products,0.944164,227,2000
660,9015,"Surveying, hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances",0.943003,-51,2000
661,7101,Pearls,0.936704,-11,2000
662,8602,Other rail locomotives; locomotive tenders,0.935853,-79,2000
663,8904,Tugs and pusher craft,0.92906,135,2000
664,2902,Cyclic hydrocarbons,0.925286,-7,2000
665,6901,"Bricks, blocks, tiles and other ceramic goods",0.91919,167,2000
666,2527,Natural cryolite,0.914396,1,2000
667,3402,Cleaning products,0.913744,-48,2000
668,4909,Printed or illustrated postcards,0.906403,122,2000
669,1601,Sausages,0.904708,-81,2000
670,9014,Direction finding compasses,0.891123,-34,2000
671,0201,Bovine meat,0.889555,-102,2000
672,8534,Electronic printed circuits,0.870341,-35,2000
673,7503,Nickel waste and scrap,0.867373,24,2000
674,8470,"Calculating machines, cash registers",0.862225,-123,2000
675,8541,"Diodes, transistors, semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells",0.859396,38,2000
676,7216,"Angles, shapes and sections of iron or nonalloy steel",0.856305,-8,2000
677,5506,"Synthetic staple fibers, processed",0.854262,74,2000
678,9604,Hand sieves and hand riddles,0.833129,-157,2000
679,0105,Fowls (< 185 grams),0.8282,23,2000
680,4415,"Packing cases, boxes, crates, drums of wood",0.824992,-64,2000
681,5801,Woven pile fabrics,0.819667,-81,2000
682,9005,"Binoculars, monoculars, other optical telescopes, and mountings",0.814789,-267,2000
683,8103,Tantalum,0.812288,-167,2000
684,7801,Lead refined unwrought,0.810982,51,2000
685,0103,Swine,0.802485,-93,2000
686,4014,Hygienic or pharmaceutical articles of vulcanized rubber,0.797011,9,2000
687,8002,Tin waste and scrap,0.796142,87,2000
688,7309,"Tanks etc, over 300 liter capacity, iron or steel",0.79304,-132,2000
689,2820,Manganese oxides,0.792243,217,2000
690,8907,"Other floating structures (for example, rafts, tanks, buoys and beacons)",0.788722,-15,2000
691,3923,Packing of goods,0.783246,-36,2000
692,4903,"Children's picture, drawing or coloring books",0.778897,73,2000
693,1702,Other sugars,0.772454,-213,2000
694,7209,"Cold rolled iron or non-alloy steel, coil, width >600mm, t >3mm, 355 mp",0.770063,47,2000
695,2619,"Slag, dross, other than granulated slag",0.767213,-14,2000
696,2517,"Pebbles, gravel, broken & crushed stone for aggregate",0.762429,-147,2000
697,7109,Gold clad metals,0.745596,-293,2000
698,4405,Wood wool,0.745084,-221,2000
699,2203,Beer,0.74219,105,2000
700,9606,"Buttons, press-fasteners, snap-fasteners and press-studs, button molds",0.740925,194,2000
701,2309,Preparations of a kind used in animal feeding,0.739479,84,2000
702,5108,"Yarn of animal hair, not for retail sale",0.736526,158,2000
703,7301,Sheet piling of iron or steel,0.732646,-355,2000
704,2307,"Wine lees, argol",0.724967,105,2000
705,6907,Unglazed ceramic flags and pavers including unglazed ceramic mosaic cubes,0.71441,-41,2000
706,7213,Hot rolled bar/rod grooved iron or non-alloy steel in irregular coils,0.706571,81,2000
707,3603,Safety or detonating fuses,0.705271,-87,2000
708,5105,"Wool or animal hair, combed",0.704381,67,2000
709,8609,Containers for carriage by one or more modes of transport,0.700149,-116,2000
710,9704,Postage or revenue stamps,0.698034,51,2000
711,4011,"New pneumatic tires, of rubber",0.687737,-158,2000
712,1905,"Bread, pastry, cakes, biscuits and other baked goods",0.686031,14,2000
713,1602,Homogenized preparations of meat,0.676265,-6,2000
714,3202,Synthetic organic tanning substances,0.662249,-32,2000
715,4819,"Cartons, boxes, cases, bags and other packing containers of paper",0.659037,-136,2000
716,7105,Natural or synthetic precious stone dust or powder,0.658081,-136,2000
717,7605,Aluminum wire,0.647238,-29,2000
718,5803,Gauze,0.643783,102,2000
719,4302,Other tanned or dressed furskins,0.641595,-15,2000
720,3305,Hair products,0.634619,-105,2000
721,2202,Waters flavored or sweetened,0.627254,-60,2000
722,5106,"Yarn of carded wool, not for retail sale",0.626898,100,2000
723,1001,Wheat and meslin,0.619887,55,2000
724,5703,"Carpets, tufted",0.613165,-55,2000
725,4206,Articles of gut,0.604424,118,2000
726,8519,Sound recording apparatus,0.604007,-4,2000
727,2804,"Hydrogen, rare gases and other nonmetals",0.591844,103,2000
728,7217,Wire of iron or nonalloy steel,0.579208,16,2000
729,5111,Woven fabrics of carded wool or carded fine animal hair,0.57764,-132,2000
730,2815,Sodium hydroxide; potassium hydroxide; peroxides of sodium or potassium,0.575902,-53,2000
731,2834,Nitrites; nitrates,0.572467,-58,2000
732,2905,Acyclic alcohols,0.572238,-5,2000
733,2205,Vermouth and other flavored wines,0.57071,-25,2000
734,5505,Waste of man-made fibers,0.570417,-54,2000
735,6506,Other headgear,0.564607,-18,2000
736,7901,Unwrought zinc,0.558124,-13,2000
737,4205,Other articles of leather,0.557176,133,2000
738,8711,Motorcycles,0.554739,-529,2000
739,7408,Copper wire,0.547631,0,2000
740,6308,Needlecraft sets of woven fabric & yarn,0.54531,-240,2000
741,7310,"Tanks and similar containers, of iron or steel, not exceeding 300 liters",0.544486,-13,2000
742,8478,Machinery for preparing or making up tobacco,0.542642,161,2000
743,4803,"Toilet etc household, sanitary stock",0.541285,-34,2000
744,1108,Starches,0.538978,-53,2000
745,6914,Other ceramic articles,0.535949,97,2000
746,8905,Floating or submersible drilling platforms,0.530458,91,2000
747,2508,Clays,0.528428,21,2000
748,5809,Woven fabric incorporating metal threads,0.528076,-69,2000
749,2204,Wine of fresh grapes,0.526296,13,2000
750,2208,Alcoholic preps for beverages,0.526096,61,2000
751,6904,Ceramic building bricks,0.524692,-21,2000
752,7805,"Lead tubes, pipes and fittings",0.52366,7,2000
753,6507,Headbands,0.514678,30,2000
754,8304,Desk-top filing or card-index cabinets and parts thereof,0.511947,-98,2000
755,3205,Color lakes,0.501056,-93,2000
756,2833,Sulfates; alums; peroxosulfates (persulfates),0.498986,41,2000
757,7418,"Table, kitchen or other household articles of copper",0.496941,119,2000
758,7018,Glass beads,0.489249,50,2000
759,9004,"Spectacles, goggles, corrective, protective",0.479181,-227,2000
760,4204,Articles of leather for technical uses,0.475992,-118,2000
761,4110,Waste of leather,0.474648,-45,2000
762,5807,"Labels, badges and similar articles of textile materials",0.474125,63,2000
763,0505,Feathers and down for stuffing,0.470121,207,2000
764,5110,Yarn of coarse animal hair or of horsehair,0.461986,144,2000
765,5510,Yarn of artificial staple fibers,0.461982,61,2000
766,9401,Seats,0.461492,-48,2000
767,9113,Watch straps,0.459945,-42,2000
768,1519,Stearic acid,0.433747,-108,2000
769,7902,Zinc waste and scrap,0.42888,-16,2000
770,2522,Quicklime,0.426458,-70,2000
771,9607,Slide fasteners and parts thereof,0.424597,-42,2000
772,0601,"Bulbs, tubers, corms, crowns and rhizomes, dormant",0.416584,-165,2000
773,5705,Other carpets and other textile floor coverings,0.413037,23,2000
774,4418,Builders' joinery and carpentry of wood,0.408868,41,2000
775,1603,"Extracts, juices of meat or fish",0.40725,272,2000
776,2824,Lead oxides,0.396158,-172,2000
777,2705,"Coal gas, water gas, not petroleum gases",0.38555,-29,2000
778,8506,Primary cells and primary batteries,0.362173,1,2000
779,0509,Sponges of animal origin,0.360496,246,2000
780,3805,"Gum, wood or sulfate turpentine",0.359608,-193,2000
781,8201,"Hand tools base metal parts thereof spades, shovels, picks, forks and rakes; axes and similar hewing tools; pruners of any kind; scythes, sickles, hedge shears",0.335149,-76,2000
782,0102,Bovines,0.334368,63,2000
783,9602,Worked vegetable or mineral carving material,0.318592,48,2000
784,9403,Other furniture and parts thereof,0.308134,-3,2000
785,3406,Candles,0.305198,34,2000
786,2505,Natural sands,0.297587,-41,2000
787,2209,Vinegars,0.287774,110,2000
788,5401,Sewing thread of man-made filaments,0.285035,-137,2000
789,2839,Silicates; commercial alkali metal silicates,0.280047,-56,2000
790,9613,Cigarette lighters,0.268615,45,2000
791,1206,Sunflower seeds,0.268596,53,2000
792,4706,Pulps of fibers derived from recovered paper or paperboard,0.25133,-182,2000
